C:\Users\User\Documents\NodeJS\Estudos\Ex4/html/erro.html acessada em Sun Jan 17 2016 22:47:03 GMT-0200 (Horário brasileiro de verão)
C:\Users\User\Documents\NodeJS\Estudos\Ex4/html//contato.html acessada em Sun Jan 17 2016 22:47:09 GMT-0200 (Horário brasileiro de verão)
C:\Users\User\Documents\NodeJS\Estudos\Ex4/html/index.html acessada em Sun Jan 17 2016 22:47:15 GMT-0200 (Horário brasileiro de verão)
C:\Users\User\Documents\NodeJS\Estudos\Ex4/html//blog.html acessada em Sun Jan 17 2016 22:47:34 GMT-0200 (Horário brasileiro de verão)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/index.html acessada em Tue Jun 25 2019 17:22:40 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:22:40 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html//blog.html acessada em Tue Jun 25 2019 17:22:51 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:22:52 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html//erro.html acessada em Tue Jun 25 2019 17:22:55 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:22:55 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:22:58 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:22:58 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/index.html acessada em Tue Jun 25 2019 17:23:02 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:23:02 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html//index.html acessada em Tue Jun 25 2019 17:23:05 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:23:05 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html//contato.html acessada em Tue Jun 25 2019 17:23:11 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 17:23:11 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/index.html acessada em Tue Jun 25 2019 19:30:58 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 19:30:58 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/index.html acessada em Tue Jun 25 2019 19:31:09 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Tue Jun 25 2019 19:31:09 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/index.html acessada em Fri Jun 28 2019 14:37:46 GMT-0300 (GMT-03:00)
C:\Users\18911\Google Drive\Faculdade\7º Semestre\Sistemas distribuídos\5- HTTP\exemplo-req-HTTP\nodejs-srv/html/erro.html acessada em Fri Jun 28 2019 14:37:46 GMT-0300 (GMT-03:00)
